c_of_o_id,plot_number,block_number,area_name,state,owner_name,date_registered,status
C-OF-O-C18424D2,112,11,Nnewi,Anambra,Emmanuel Obi,2016-04-10,Verified
C-OF-O-42648D44,17,25,Ikoyi,Lagos,David Obi,2012-05-07,Verified
C-OF-O-CE0B733F,198,37,GRA,Enugu,Andrew Obasanjo,2024-05-10,Verified
C-OF-O-451F3F0E,127,5,Trans-Ekulu,Enugu,Emmanuel Abiola,2016-02-26,Verified
C-OF-O-772F8100,127,8,Victoria Island,Lagos,Benjamin Akinwale,2024-08-31,Verified
C-OF-O-CFAC7A7B,189,30,Uwani,Enugu,Mark Balogun,2010-11-16,Verified
C-OF-O-34CE62D5,11,42,Nnewi,Anambra,James Ojo,2013-10-07,Verified
C-OF-O-F914FC4B,75,18,Uwani,Enugu,Michael Nnamani,2023-01-05,Verified
C-OF-O-59E0623C,8,6,Onitsha GRA,Anambra,Charity Oshodi,2018-10-05,Verified
C-OF-O-7ADCDE2D,50,40,New Haven,Enugu,Emmanuel Okafor,2020-07-30,Verified
C-OF-O-9B6418D8,68,19,GRA,Enugu,Nathaniel Abiola,2012-10-03,Verified
C-OF-O-8155A8D9,14,26,New Haven,Enugu,John Olawale,2023-07-13,Verified
C-OF-O-D56FF0D1,112,40,Ikoyi,Lagos,Mark Okonkwo,2021-09-16,Verified
C-OF-O-013CF438,121,44,Ikeja GRA,Lagos,Ruth Olawale,2021-12-05,Verified
C-OF-O-36905FFE,49,16,Surulere,Lagos,Deborah Oshodi,2016-01-21,Verified
C-OF-O-CF55343A,168,24,Surulere,Lagos,Mark Obi,2023-08-20,Verified
C-OF-O-F522F0FC,21,48,Nnewi,Anambra,Faith Okafor,2016-08-25,Verified
C-OF-O-23634431,127,27,Ikoyi,Lagos,Stephen Ekwueme,2013-03-22,Verified
C-OF-O-67A65855,168,9,Onitsha GRA,Anambra,Peter Nnamani,2012-12-01,Verified
C-OF-O-3641EB55,105,43,GRA,Enugu,Esther Okafor,2017-05-23,Verified
C-OF-O-77ED3CA3,156,33,Nnewi,Anambra,Paul Balogun,2020-07-10,Verified
C-OF-O-1C81ABAE,171,12,GRA,Enugu,Faith Adeyemi,2024-07-20,Verified
C-OF-O-1C0FA6DD,168,11,GRA,Enugu,Blessing Adeyemi,2022-09-01,Verified
C-OF-O-A9847D97,124,24,Onitsha GRA,Anambra,Sarah Ibrahim,2017-04-19,Verified
C-OF-O-BEA0C660,36,26,Victoria Island,Lagos,Joseph Okonkwo,2011-02-27,Verified
C-OF-O-09108145,38,45,Enugu-Ukwu,Anambra,Andrew Nnamani,2015-11-15,Verified
C-OF-O-19C80336,107,19,Ikoyi,Lagos,Peter Ibrahim,2014-08-25,Verified
C-OF-O-71CEAE2E,142,36,Ikeja GRA,Lagos,Gloria Oyekan,2024-09-14,Verified
C-OF-O-1D847D62,111,31,GRA,Enugu,Elizabeth Adeyemi,2023-01-23,Verified
C-OF-O-F89898BC,114,3,Ikeja GRA,Lagos,Samuel Adetokunbo,2012-04-03,Verified
C-OF-O-D6C124CA,69,13,New Haven,Enugu,Mary Adetokunbo,2014-04-20,Verified
C-OF-O-E1428758,200,41,Amawbia,Anambra,Agnes Okonkwo,2021-01-24,Verified
C-OF-O-7D4CED09,188,8,Trans-Ekulu,Enugu,Nathaniel Akinwale,2017-09-25,Verified
C-OF-O-7E12D727,81,27,GRA,Enugu,Mary Ojo,2019-09-13,Verified
C-OF-O-49C8D52B,26,25,Nnewi,Anambra,Blessing Nnamani,2016-09-03,Verified
C-OF-O-5C43E446,13,13,Onitsha GRA,Anambra,Joy Adetokunbo,2023-01-16,Verified
C-OF-O-CC797CF6,37,41,Trans-Ekulu,Enugu,Joy Okafor,2023-10-06,Verified
C-OF-O-F85C0523,132,17,Amawbia,Anambra,David Balogun,2022-07-12,Verified
C-OF-O-4CB38BC8,86,27,Ikeja GRA,Lagos,Juliet Chukwu,2023-07-18,Verified
C-OF-O-34C9B7D0,157,33,Ikoyi,Lagos,Grace Akinwale,2018-09-11,Verified
C-OF-O-196C33E4,161,28,Trans-Ekulu,Enugu,Angela Oyekan,2022-08-24,Verified
C-OF-O-593B1521,76,36,Surulere,Lagos,Angela Adeyemi,2017-05-10,Verified
C-OF-O-3C166244,164,3,Amawbia,Anambra,Andrew Oshodi,2022-09-25,Verified
C-OF-O-BD4D7224,193,39,Nnewi,Anambra,Paul Adetokunbo,2021-11-22,Verified
C-OF-O-B057B57C,10,14,Victoria Island,Lagos,Charity Nnamani,2023-05-27,Verified
C-OF-O-20C95474,184,30,Onitsha GRA,Anambra,Emmanuel Obi,2014-06-30,Verified
C-OF-O-9E553144,128,3,Trans-Ekulu,Enugu,Joshua Oshodi,2015-08-30,Verified
C-OF-O-FDA3D957,171,34,Surulere,Lagos,Gabriel Nnamani,2016-05-14,Verified
C-OF-O-EEF645E2,151,43,Ikoyi,Lagos,Joshua Obasanjo,2012-11-14,Verified
C-OF-O-17ED5384,8,16,Amawbia,Anambra,Joshua Uche,2020-06-22,Verified
C-OF-O-15BB5B67,159,45,Amawbia,Anambra,Paul Oyekan,2022-10-01,Verified
C-OF-O-41C742C6,96,50,Ikeja GRA,Lagos,Faith Ojo,2014-07-09,Verified
C-OF-O-AD3ECDFC,14,32,Trans-Ekulu,Enugu,Charity Abiola,2017-12-23,Verified
C-OF-O-00D52027,143,3,Uwani,Enugu,Nathaniel Oshodi,2023-04-26,Verified
C-OF-O-26F24544,121,32,Onitsha GRA,Anambra,Faith Obi,2019-04-20,Verified
C-OF-O-6E2E44EC,57,17,Surulere,Lagos,Gabriel Akinwale,2022-03-29,Verified
C-OF-O-17FCEA6C,44,20,Victoria Island,Lagos,Paul Balogun,2011-07-11,Verified
C-OF-O-A3B32A3A,148,36,Amawbia,Anambra,Emmanuel Okonkwo,2018-12-23,Verified
C-OF-O-5798079C,200,29,Trans-Ekulu,Enugu,Peter Ekwueme,2021-11-11,Verified
C-OF-O-D0D90DC1,44,31,Onitsha GRA,Anambra,Sarah Adeyemi,2023-08-14,Verified
C-OF-O-7FA2EEFE,48,33,New Haven,Enugu,Andrew Ojo,2020-06-11,Verified
C-OF-O-69FF3988,123,19,Ikoyi,Lagos,Charity Obi,2012-07-01,Verified
C-OF-O-6C352105,29,2,Amawbia,Anambra,Joseph Ibrahim,2016-02-23,Verified
C-OF-O-B501B84D,13,13,Enugu-Ukwu,Anambra,Juliet Adetokunbo,2017-12-16,Verified
C-OF-O-F59D6BE7,38,6,Ikeja GRA,Lagos,Gloria Balogun,2016-01-20,Verified
C-OF-O-6EF427EB,15,34,Ikeja GRA,Lagos,Grace Oshodi,2015-11-07,Revoked
C-OF-O-197C2166,192,8,Uwani,Enugu,Simon Ojo,2019-12-16,Verified
C-OF-O-D9A495C2,147,3,Uwani,Enugu,Faith Olawale,2016-01-14,Verified
C-OF-O-EC050531,135,10,Onitsha GRA,Anambra,Gloria Adetokunbo,2020-11-19,Verified
C-OF-O-3176ACDF,73,45,Victoria Island,Lagos,Simon Obi,2018-09-18,Verified
C-OF-O-DFC4C70F,41,46,Nnewi,Anambra,Peace Okafor,2014-05-07,Verified
C-OF-O-1BCE3E03,158,50,GRA,Enugu,Juliet Eze,2024-02-20,Verified
C-OF-O-76C3A1CD,178,43,Amawbia,Anambra,Blessing Okafor,2014-10-19,Verified
C-OF-O-2D89E37D,149,19,Onitsha GRA,Anambra,Faith Abiola,2022-08-04,Verified
C-OF-O-D9854B4B,164,10,Enugu-Ukwu,Anambra,Samuel Okafor,2020-05-05,Verified
C-OF-O-9D2EBC37,1,46,Surulere,Lagos,Joseph Balogun,2023-07-06,Pledged as Collateral
C-OF-O-76851006,113,36,New Haven,Enugu,Agnes Olawale,2022-01-09,Verified
C-OF-O-BB2E6442,16,23,Onitsha GRA,Anambra,Victoria Uche,2024-02-14,Verified
C-OF-O-1F51814F,11,3,GRA,Enugu,John Oyekan,2012-12-10,Verified
C-OF-O-114E5973,90,21,Uwani,Enugu,Peace Ogunleye,2020-04-13,Verified
C-OF-O-A3B42E2A,8,6,Amawbia,Anambra,Emmanuel Ogunleye,2014-11-30,Verified
C-OF-O-68A785BE,186,29,Ikoyi,Lagos,Andrew Okafor,2012-08-26,Verified
C-OF-O-049A540D,40,19,Amawbia,Anambra,Grace Uche,2021-05-15,Revoked
C-OF-O-CA72F699,151,42,Ikoyi,Lagos,Benjamin Olawale,2019-02-19,Verified
C-OF-O-8608C82B,48,34,Amawbia,Anambra,Sarah Adetokunbo,2016-01-07,Verified
C-OF-O-106A8EAF,178,16,Onitsha GRA,Anambra,Paul Uche,2013-07-18,Verified
